ngay_add,shop,order_id,tracking_number,carrier_da_nhap,etsy_dang_hien,tinh_trang
2026-06-24,Cipustar,4090975932,GV464212304GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-24,Cipustar,4094549791,QL755289802GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-24,Cipustar,4095009059,IW375071026GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-24,Cipustar,4096418189,GV463946326GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-24,Cipustar,4097239195,QL755292483GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-25,Cipustar,4097198375,GV464242195GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-25,Cipustar,4095050348,GV464335144GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-25,Cipustar,4097940545,QL755294285GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-25,Cipustar,4098291201,QL755294263GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4097152648,QL755297477GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4099779309,7321315512742904,Canada Post,,NGHI MAT TRACKING - re-add gap
2026-06-30,Cipustar,4097494262,GV465147006GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4099946695,GV465147010GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4098053956,GV465593944GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4100651825,GV465593935GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4098542584,GV465593961GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4099123594,QL755299773GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4101695513,QL755299756GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4099777152,QL755302968GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4102154453,QL755302954GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-06-30,Cipustar,4100043010,7321315513019821,Canada Post,,NGHI MAT TRACKING - re-add gap
2026-06-30,Cipustar,4103213213,GV466692515GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-07-02,Cipustar,4098907704,GV467280780GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-07-02,Cipustar,4102861535,GV467060625GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-07-02,Cipustar,4102369422,GV467060687GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-07-02,Cipustar,4105014313,GV467446626GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
2026-07-04,Cipustar,4101944587,IW375416844GB,Royal Mail,Parcelforce Worldwide,SAI TEN HANG tren Etsy
